symbol,exchange,datetime,open,high,low,close,volume,open_interest,strategy
ethusdt,BINANCE,2021-02-06 16:00:00,1673.21,1709.0,1672.01,1699.99,48661.08142,0.0,-1
ethusdt,BINANCE,2021-02-06 17:00:00,1699.99,1718.47,1689.89,1694.46,65955.89013,0.0,-1
ethusdt,BINANCE,2021-02-06 18:00:00,1694.42,1696.0,1675.0,1691.82,40878.6004,0.0,-1
ethusdt,BINANCE,2021-02-06 19:00:00,1691.82,1697.55,1673.21,1679.67,57944.54589,0.0,-1
ethusdt,BINANCE,2021-02-06 20:00:00,1679.67,1689.84,1663.0,1674.68,42988.31628,0.0,-1
ethusdt,BINANCE,2021-02-06 21:00:00,1674.68,1687.8,1669.06,1676.36,37893.19359,0.0,-1
ethusdt,BINANCE,2021-02-06 22:00:00,1676.29,1697.52,1676.15,1686.53,32600.90322,0.0,-1
ethusdt,BINANCE,2021-02-06 23:00:00,1686.79,1695.01,1671.92,1673.04,42964.509,0.0,-1
ethusdt,BINANCE,2021-02-07 00:00:00,1673.04,1694.0,1655.23,1694.0,55478.4721,0.0,-1
ethusdt,BINANCE,2021-02-07 01:00:00,1694.0,1708.0,1678.51,1704.25,40704.14293,0.0,-1
ethusdt,BINANCE,2021-02-07 02:00:00,1704.41,1714.0,1691.57,1707.15,38108.68425,0.0,-1
ethusdt,BINANCE,2021-02-07 03:00:00,1706.88,1719.99,1695.0,1707.67,41233.69503,0.0,-1
ethusdt,BINANCE,2021-02-07 04:00:00,1707.89,1709.85,1683.1,1693.71,42895.14207,0.0,-1
ethusdt,BINANCE,2021-02-07 05:00:00,1693.71,1714.99,1691.85,1708.44,29966.0023,0.0,-1
ethusdt,BINANCE,2021-02-07 06:00:00,1708.4,1718.68,1695.17,1701.63,20675.60573,0.0,-1
ethusdt,BINANCE,2021-02-07 07:00:00,1701.49,1703.49,1671.33,1676.35,41752.2262,0.0,-1
ethusdt,BINANCE,2021-02-07 08:00:00,1676.35,1693.0,1671.0,1682.99,32753.54067,0.0,-1
ethusdt,BINANCE,2021-02-07 09:00:00,1683.0,1685.43,1631.1,1642.16,70281.00206,0.0,-1
ethusdt,BINANCE,2021-02-07 10:00:00,1642.19,1647.8,1609.03,1628.16,79024.17561,0.0,-1
ethusdt,BINANCE,2021-02-07 11:00:00,1628.2,1633.48,1614.88,1626.53,34402.8475,0.0,-1
ethusdt,BINANCE,2021-02-07 12:00:00,1626.41,1632.41,1585.44,1608.38,63792.88961,0.0,-1
ethusdt,BINANCE,2021-02-07 13:00:00,1608.02,1620.99,1600.73,1615.22,37305.01,0.0,-1
ethusdt,BINANCE,2021-02-07 14:00:00,1615.22,1619.75,1606.59,1611.51,24726.19164,0.0,-1
ethusdt,BINANCE,2021-02-07 15:00:00,1611.51,1639.67,1606.75,1632.0,42900.40224,0.0,-1
ethusdt,BINANCE,2021-02-07 16:00:00,1632.01,1647.38,1628.6,1640.85,40865.67771,0.0,-1
ethusdt,BINANCE,2021-02-07 17:00:00,1640.85,1643.68,1630.8,1636.26,31126.11035,0.0,-1
ethusdt,BINANCE,2021-02-07 18:00:00,1636.27,1655.77,1634.08,1637.45,33963.62451,0.0,-1
ethusdt,BINANCE,2021-02-07 19:00:00,1637.45,1638.16,1613.48,1624.91,38820.15544,0.0,-1
ethusdt,BINANCE,2021-02-07 20:00:00,1624.89,1629.39,1600.0,1616.44,47042.97114,0.0,-1
ethusdt,BINANCE,2021-02-07 21:00:00,1616.44,1627.98,1579.12,1585.5,76016.77227,0.0,1
ethusdt,BINANCE,2021-02-07 22:00:00,1585.49,1587.15,1560.6,1571.31,72337.1296,0.0,1
ethusdt,BINANCE,2021-02-07 23:00:00,1571.29,1577.15,1525.01,1538.21,111147.32628,0.0,1
ethusdt,BINANCE,2021-02-08 00:00:00,1538.19,1556.78,1490.46,1554.54,145410.35073,0.0,1
ethusdt,BINANCE,2021-02-08 01:00:00,1554.39,1575.73,1546.0,1555.14,66498.05473,0.0,1
ethusdt,BINANCE,2021-02-08 02:00:00,1555.14,1585.96,1552.65,1580.66,44482.29537,0.0,1
ethusdt,BINANCE,2021-02-08 03:00:00,1580.65,1589.99,1561.99,1565.44,36495.3515,0.0,1
ethusdt,BINANCE,2021-02-08 04:00:00,1565.64,1584.43,1552.68,1581.71,37574.47378,0.0,1
ethusdt,BINANCE,2021-02-08 05:00:00,1581.73,1602.0,1574.21,1596.76,38793.48121,0.0,1
ethusdt,BINANCE,2021-02-08 06:00:00,1596.75,1601.01,1575.94,1599.53,26539.78513,0.0,1
ethusdt,BINANCE,2021-02-08 07:00:00,1599.53,1621.46,1597.89,1611.62,49435.24906,0.0,1
ethusdt,BINANCE,2021-02-08 08:00:00,1611.46,1631.31,1590.48,1596.45,46794.03632,0.0,1
ethusdt,BINANCE,2021-02-08 09:00:00,1596.46,1603.93,1578.02,1592.14,34888.03012,0.0,1
ethusdt,BINANCE,2021-02-08 10:00:00,1592.15,1603.54,1566.79,1571.41,39563.57543,0.0,1
ethusdt,BINANCE,2021-02-08 11:00:00,1571.25,1589.84,1563.89,1581.46,28388.6649,0.0,1
ethusdt,BINANCE,2021-02-08 12:00:00,1581.26,1620.15,1577.67,1618.7,47721.87691,0.0,1
ethusdt,BINANCE,2021-02-08 13:00:00,1618.61,1625.26,1605.31,1608.11,28132.05932,0.0,1
ethusdt,BINANCE,2021-02-08 14:00:00,1608.24,1635.71,1608.22,1632.45,32316.63964,0.0,1
ethusdt,BINANCE,2021-02-08 15:00:00,1632.46,1647.73,1624.04,1639.59,31308.60366,0.0,1
ethusdt,BINANCE,2021-02-08 16:00:00,1639.52,1651.0,1626.26,1632.84,37823.40423,0.0,1
